"video_id","count","date"
2303,22,"2015-01-07"
1193,54854,"2015-01-12"
1219,1788779,"2015-01-03"
1472,234,"2015-01-04"
2947,14407,"2015-01-08"
1417,973996,"2015-01-14"
1564,42,"2015-01-09"
2962,278000,"2015-01-03"
2057,1134427,"2015-01-05"
1785,1059824,"2015-01-09"
1054,3270,"2015-01-04"
906,153,"2015-01-15"
2489,543454,"2015-01-01"
700,1461221,"2015-01-02"
1953,2324391,"2015-01-12"
1564,40,"2015-01-06"
2617,214966,"2015-01-15"
1566,213,"2015-01-06"
2192,1283989,"2015-01-04"
2258,1866542,"2015-01-12"
1931,8390,"2015-01-05"
1898,106526,"2015-01-06"
2084,350199,"2015-01-04"
2662,102,"2015-01-11"
745,315911,"2015-01-07"
2589,1741476,"2015-01-11"
776,2114835,"2015-01-09"
206,302087,"2015-01-04"
2222,3035,"2015-01-07"
1755,237409,"2015-01-13"
2300,175,"2015-01-05"
2294,1945667,"2015-01-01"
1108,334601,"2015-01-06"
2194,673916,"2015-01-03"
1944,620319,"2015-01-06"
2472,938703,"2015-01-11"
2929,109905,"2015-01-07"
1617,29,"2015-01-03"
1788,68468,"2015-01-02"
670,18376,"2015-01-13"
2446,406771,"2015-01-05"
1370,2248294,"2015-01-06"
2636,449790,"2015-01-06"
1564,39,"2015-01-02"
118,65303,"2015-01-11"
436,1586389,"2015-01-12"
2823,116423,"2015-01-09"
319,588476,"2015-01-05"
877,69180,"2015-01-15"
2698,49513,"2015-01-13"
2285,1099,"2015-01-12"
786,304891,"2015-01-15"
2641,29655,"2015-01-15"
1068,589586,"2015-01-02"
1781,281,"2015-01-04"
57,174,"2015-01-11"
1940,313786,"2015-01-11"
2732,1014302,"2015-01-01"
909,87414,"2015-01-05"
445,58063,"2015-01-15"
1886,74046,"2015-01-01"
2872,15571,"2015-01-15"
1164,353377,"2015-01-06"
2570,1688524,"2015-01-11"
898,913,"2015-01-05"
2528,2177502,"2015-01-07"
880,155550,"2015-01-06"
2027,175597,"2015-01-13"
514,2572379,"2015-01-05"
2641,1542,"2015-01-05"
1229,92617,"2015-01-14"
1097,2161865,"2015-01-07"
2866,1402251,"2015-01-04"
1811,218,"2015-01-10"
453,2257186,"2015-01-07"
493,1681009,"2015-01-01"
2885,2129782,"2015-01-02"
1863,141,"2015-01-12"
550,55689,"2015-01-13"
2133,357797,"2015-01-10"
1975,1097556,"2015-01-14"
1157,632388,"2015-01-14"
2458,136852,"2015-01-14"
1435,39285,"2015-01-12"
2553,937,"2015-01-14"
1462,71,"2015-01-03"
461,1348403,"2015-01-02"
1679,540627,"2015-01-07"
2584,777712,"2015-01-02"
731,745468,"2015-01-09"
1257,2096811,"2015-01-02"
2169,6717,"2015-01-14"
1988,41480,"2015-01-05"
602,127670,"2015-01-14"
630,374692,"2015-01-10"
1495,295665,"2015-01-02"
1074,29326,"2015-01-04"
869,30390,"2015-01-15"
2997,1577356,"2015-01-03"
1715,15821,"2015-01-06"
1418,1511860,"2015-01-12"
2976,40456,"2015-01-08"
2826,329915,"2015-01-11"
407,1472272,"2015-01-07"
1608,234,"2015-01-11"
987,1784502,"2015-01-07"
2260,199,"2015-01-02"
782,905816,"2015-01-03"
1330,2767,"2015-01-10"
1731,65278,"2015-01-13"
522,245764,"2015-01-11"
2394,334189,"2015-01-13"
1545,1963652,"2015-01-03"
2267,65933,"2015-01-13"
1181,32551,"2015-01-13"
464,19018,"2015-01-10"
2994,236,"2015-01-07"
2735,7876,"2015-01-10"
1452,130965,"2015-01-15"
1925,289876,"2015-01-12"
1770,155,"2015-01-01"
1562,110651,"2015-01-14"
827,534343,"2015-01-01"
780,1509735,"2015-01-02"
2470,37299,"2015-01-14"
2114,42192,"2015-01-02"
807,2503458,"2015-01-14"
172,335370,"2015-01-14"
2367,2975980,"2015-01-12"
156,89,"2015-01-03"
970,307,"2015-01-10"
648,105800,"2015-01-11"
2630,241240,"2015-01-05"
2241,133547,"2015-01-15"
332,204120,"2015-01-08"
1898,51066,"2015-01-11"
2591,156633,"2015-01-09"
2889,1801951,"2015-01-03"
876,14197,"2015-01-05"
1121,1668548,"2015-01-02"
2890,168398,"2015-01-15"
1897,1922632,"2015-01-05"
973,1789522,"2015-01-07"
1600,601322,"2015-01-15"
1918,185856,"2015-01-09"
2842,17678,"2015-01-06"
860,279167,"2015-01-01"
2903,474706,"2015-01-01"
524,160480,"2015-01-14"
1692,2296722,"2015-01-10"
2618,442283,"2015-01-02"
881,569,"2015-01-09"
1350,218703,"2015-01-12"
1407,10495,"2015-01-12"
1326,483193,"2015-01-01"
2528,2157449,"2015-01-05"
2552,118613,"2015-01-10"
1006,447751,"2015-01-08"
1044,125,"2015-01-10"
1029,334769,"2015-01-12"
1709,410881,"2015-01-06"
788,196060,"2015-01-14"
2147,1252106,"2015-01-07"
2379,1274193,"2015-01-11"
1061,107563,"2015-01-01"
2015,2127136,"2015-01-14"
2329,1620,"2015-01-15"
1681,225,"2015-01-04"
1241,9938,"2015-01-01"
1121,1568347,"2015-01-09"
447,57352,"2015-01-12"
495,1765230,"2015-01-08"
2121,171,"2015-01-05"
1441,390191,"2015-01-07"
1387,2369396,"2015-01-04"
1595,1243831,"2015-01-07"
1089,137237,"2015-01-13"
1859,302560,"2015-01-08"
2183,855878,"2015-01-10"
2622,136791,"2015-01-15"
2299,3359,"2015-01-11"
2228,1981606,"2015-01-14"
989,2612006,"2015-01-06"
2800,95,"2015-01-09"
771,267032,"2015-01-10"
1251,3046038,"2015-01-06"
14,1726773,"2015-01-01"
1209,664841,"2015-01-06"
1285,54766,"2015-01-10"
92,7,"2015-01-15"
2854,100113,"2015-01-11"
1785,896255,"2015-01-14"
714,67675,"2015-01-15"
2290,190128,"2015-01-08"
602,128962,"2015-01-13"
1044,148,"2015-01-02"
1915,139,"2015-01-02"
1293,793011,"2015-01-10"
2401,14138,"2015-01-06"
2999,1076,"2015-01-09"
2873,141302,"2015-01-08"
1450,69507,"2015-01-10"
2354,88828,"2015-01-11"
2338,25519,"2015-01-15"
2270,382810,"2015-01-01"
2487,53090,"2015-01-11"
673,1849093,"2015-01-06"
33,297,"2015-01-12"
1095,483242,"2015-01-02"
2215,998174,"2015-01-11"
1257,1862311,"2015-01-05"
522,720035,"2015-01-03"
2221,398588,"2015-01-12"
556,34724,"2015-01-04"
654,1895718,"2015-01-06"
2605,146900,"2015-01-06"
2746,2837384,"2015-01-03"
881,2185,"2015-01-15"
2432,140538,"2015-01-08"
2814,9373,"2015-01-12"
2313,32,"2015-01-12"
613,126216,"2015-01-06"
653,140,"2015-01-09"
2856,145,"2015-01-15"
564,193,"2015-01-03"
1102,93997,"2015-01-15"
1033,3008855,"2015-01-04"
2362,133538,"2015-01-08"
1638,1244622,"2015-01-14"
1581,608733,"2015-01-12"
2679,282277,"2015-01-11"
2175,832884,"2015-01-13"
615,104,"2015-01-10"
2740,1465146,"2015-01-10"
1818,3394931,"2015-01-05"
371,163185,"2015-01-11"
1162,27261,"2015-01-09"
1906,154719,"2015-01-05"
1128,605660,"2015-01-07"
2820,709286,"2015-01-04"
926,7562,"2015-01-01"
1215,58,"2015-01-06"
629,330353,"2015-01-08"
434,445932,"2015-01-05"
2630,76556,"2015-01-15"
486,16543,"2015-01-14"
682,471863,"2015-01-12"
484,204,"2015-01-06"
1827,1452890,"2015-01-10"
932,79182,"2015-01-15"
1610,2557646,"2015-01-06"
693,423363,"2015-01-08"
2139,71824,"2015-01-14"
1016,1594032,"2015-01-08"
46,2031008,"2015-01-15"
832,246185,"2015-01-12"
2539,454449,"2015-01-01"
134,2866423,"2015-01-01"
32,2657402,"2015-01-06"
1298,3257,"2015-01-04"
303,4491,"2015-01-14"
2130,1970,"2015-01-05"
940,258242,"2015-01-07"
2808,498430,"2015-01-04"
583,76,"2015-01-06"
2955,2314624,"2015-01-10"
391,2615624,"2015-01-09"
2742,249395,"2015-01-07"
1418,1044584,"2015-01-04"
2824,624137,"2015-01-13"
867,183578,"2015-01-05"
1717,1382259,"2015-01-15"
2929,53966,"2015-01-13"
2446,422927,"2015-01-11"
2254,53145,"2015-01-10"
2638,432854,"2015-01-02"
555,588119,"2015-01-12"
1394,393342,"2015-01-14"
2127,858137,"2015-01-11"
169,360,"2015-01-04"
2683,145315,"2015-01-06"
745,311634,"2015-01-06"
2506,154277,"2015-01-10"
1017,46347,"2015-01-12"
1986,761359,"2015-01-02"
1694,416069,"2015-01-08"
2853,573414,"2015-01-07"
2273,81402,"2015-01-02"
2133,583213,"2015-01-07"
1621,991,"2015-01-05"
685,15731,"2015-01-07"
485,4895,"2015-01-06"
2205,49898,"2015-01-11"
2004,124649,"2015-01-09"
1387,2031455,"2015-01-12"
2840,1398,"2015-01-11"
1019,1130192,"2015-01-02"
2662,86,"2015-01-13"
361,696,"2015-01-01"
1128,577557,"2015-01-10"
2768,1738602,"2015-01-10"
2350,225765,"2015-01-02"
363,2363052,"2015-01-01"
1334,579838,"2015-01-03"
779,1897218,"2015-01-13"
2849,562022,"2015-01-04"
616,39539,"2015-01-04"
2945,306074,"2015-01-02"
1137,907807,"2015-01-04"
847,969229,"2015-01-09"
2407,5867,"2015-01-01"
983,8098,"2015-01-03"
2756,269929,"2015-01-07"
1522,1664853,"2015-01-15"
2648,91036,"2015-01-12"
552,382529,"2015-01-12"
2915,1931487,"2015-01-05"
2151,12256,"2015-01-04"
2209,173675,"2015-01-14"
2606,2351856,"2015-01-07"
1138,28757,"2015-01-12"
797,150,"2015-01-02"
797,98,"2015-01-15"
2797,22,"2015-01-02"
2736,207677,"2015-01-10"
590,3669399,"2015-01-12"
1840,2391271,"2015-01-11"
1978,22906,"2015-01-09"
2668,301138,"2015-01-08"
2200,67790,"2015-01-01"
1939,18303,"2015-01-04"
181,1999464,"2015-01-07"
1722,298837,"2015-01-08"
1778,462037,"2015-01-12"
753,195610,"2015-01-03"
216,85,"2015-01-15"
856,941388,"2015-01-08"
114,408,"2015-01-01"
2356,294035,"2015-01-04"
2045,240,"2015-01-07"
1300,2956592,"2015-01-13"
1986,104026,"2015-01-13"
1585,238904,"2015-01-12"
567,428,"2015-01-02"
816,87994,"2015-01-13"
2644,27207,"2015-01-14"
168,134,"2015-01-12"
680,767035,"2015-01-07"
129,122788,"2015-01-07"
1585,997910,"2015-01-03"
2186,22627,"2015-01-13"
915,1889193,"2015-01-12"
1095,142169,"2015-01-10"
2628,3841157,"2015-01-11"
436,2135908,"2015-01-04"
2988,184114,"2015-01-01"
951,458136,"2015-01-07"
2855,151,"2015-01-15"
958,3232791,"2015-01-08"
2541,1610374,"2015-01-01"
1706,59706,"2015-01-08"
1677,36632,"2015-01-15"
2433,243368,"2015-01-10"
2930,102932,"2015-01-12"
1507,47925,"2015-01-09"
1152,3560052,"2015-01-13"
593,990,"2015-01-06"
1814,154,"2015-01-14"
2526,6804,"2015-01-02"
1191,244782,"2015-01-03"
2990,376496,"2015-01-01"
2905,4624117,"2015-01-10"
709,324471,"2015-01-09"
330,179797,"2015-01-09"
1638,1330405,"2015-01-06"
2323,53,"2015-01-09"
2685,236,"2015-01-11"
1260,854545,"2015-01-12"
712,419007,"2015-01-06"
875,1326881,"2015-01-12"
970,279,"2015-01-15"
1330,140,"2015-01-01"
2272,211867,"2015-01-01"
253,399525,"2015-01-08"
2199,1213,"2015-01-06"
889,58147,"2015-01-15"
2209,412155,"2015-01-06"
2103,140,"2015-01-01"
2851,42060,"2015-01-11"
2225,3968644,"2015-01-03"
2982,1831209,"2015-01-10"
1954,580687,"2015-01-06"
910,52994,"2015-01-12"
915,1639321,"2015-01-03"
366,31967,"2015-01-15"
720,243941,"2015-01-08"
1658,45172,"2015-01-13"
1603,2096513,"2015-01-02"
1605,64,"2015-01-06"
143,295366,"2015-01-04"
2919,1315458,"2015-01-05"
710,21248,"2015-01-12"
1510,2104139,"2015-01-13"
791,208315,"2015-01-07"
51,79,"2015-01-08"
2274,717502,"2015-01-03"
1206,57052,"2015-01-12"
663,24751,"2015-01-08"
1115,2012,"2015-01-02"
2751,3299120,"2015-01-05"
1847,31,"2015-01-07"
345,110440,"2015-01-12"
1676,19,"2015-01-12"
419,2157572,"2015-01-01"
569,112948,"2015-01-08"
312,2409315,"2015-01-03"
824,217469,"2015-01-11"
43,123906,"2015-01-10"
1142,1796011,"2015-01-01"
1903,72,"2015-01-04"
1167,2343895,"2015-01-02"
1923,538469,"2015-01-04"
2983,208,"2015-01-06"
2299,4525,"2015-01-08"
1960,270282,"2015-01-02"
55,218349,"2015-01-05"
1565,197,"2015-01-14"
766,30,"2015-01-12"
2930,82994,"2015-01-15"
1551,192620,"2015-01-07"
1341,49,"2015-01-04"
2428,158,"2015-01-04"
121,233,"2015-01-14"
2471,1353,"2015-01-01"
163,2590615,"2015-01-02"
44,125,"2015-01-11"
769,9621,"2015-01-11"
1303,519524,"2015-01-13"
879,45,"2015-01-04"
2282,3052414,"2015-01-06"
2191,96530,"2015-01-09"
2773,2182109,"2015-01-01"
1125,189146,"2015-01-14"
784,2666662,"2015-01-09"
1221,235,"2015-01-11"
2984,785,"2015-01-08"
1551,156650,"2015-01-08"
2589,1881038,"2015-01-05"
124,474269,"2015-01-01"
1612,50,"2015-01-10"
2281,1621024,"2015-01-06"
441,1507515,"2015-01-07"
2743,2005150,"2015-01-09"
1278,516888,"2015-01-04"
684,44029,"2015-01-04"
813,178158,"2015-01-08"
1173,71099,"2015-01-13"
453,2471839,"2015-01-05"
2351,74,"2015-01-01"
400,56,"2015-01-11"
228,18615,"2015-01-13"
1315,1902758,"2015-01-14"
425,217,"2015-01-02"
1246,141,"2015-01-09"
442,127,"2015-01-09"
1498,43192,"2015-01-14"
1327,44,"2015-01-02"
2971,3532115,"2015-01-02"
2559,77953,"2015-01-15"
988,61,"2015-01-07"
1861,169018,"2015-01-12"
62,1786476,"2015-01-13"
2785,44218,"2015-01-13"
1013,251746,"2015-01-15"
