"video_id","video_length","video_language","video_upload_date","video_quality"
2374,1760,"Cn","2014-12-06","480p"
1897,489,"Cn","2014-12-10","720p"
2386,1273,"Es","2014-12-05","480p"
2912,986,"Es","2014-12-10","240p"
2432,1050,"Other","2014-12-10","480p"
2385,377,"Cn","2014-12-12","360p"
2104,380,"En","2014-12-16","720p"
1142,988,"Other","2014-12-10","360p"
460,1226,"Other","2014-12-03","360p"
2484,1145,"Other","2014-12-02","1080p"
903,751,"Cn","2014-12-13","720p"
2072,207,"En","2014-12-18","480p"
2845,586,"Other","2014-12-03","720p"
2362,1028,"Cn","2014-12-04","720p"
849,441,"Other","2014-12-09","1080p"
2469,230,"Other","2014-12-02","720p"
879,699,"Es","2014-12-13","1080p"
2701,104,"En","2014-12-14","480p"
2021,354,"En","2014-12-03","1080p"
611,189,"Other","2014-12-18","720p"
982,726,"Es","2014-12-18","720p"
2380,1746,"Other","2014-12-07","240p"
2815,555,"Es","2014-12-17","720p"
2154,406,"Cn","2014-12-12","720p"
1565,482,"Cn","2014-12-11","360p"
2027,1640,"Other","2014-12-02","480p"
1740,785,"Cn","2014-12-02","720p"
2625,422,"Es","2014-12-19","720p"
2825,41,"Other","2014-12-18","360p"
2044,529,"Es","2014-12-15","720p"
2947,446,"Cn","2014-12-19","480p"
1325,390,"Es","2014-12-15","480p"
2580,327,"Cn","2014-12-18","480p"
23,507,"En","2014-12-15","360p"
2419,582,"Fr","2014-12-22","480p"
1358,370,"De","2014-12-12","480p"
687,816,"Other","2014-12-10","720p"
597,265,"En","2014-12-11","480p"
1575,524,"En","2014-12-12","1080p"
1943,1052,"Other","2014-12-07","480p"
328,1202,"Cn","2014-12-09","1080p"
118,1228,"Fr","2014-12-08","480p"
988,445,"En","2014-12-13","240p"
1791,337,"Es","2014-12-15","1080p"
1865,502,"Cn","2014-12-18","1080p"
1504,319,"Other","2014-12-18","1080p"
2892,784,"Cn","2014-12-11","360p"
617,370,"En","2014-12-21","480p"
1400,731,"De","2014-12-21","480p"
2513,468,"Other","2014-12-06","1080p"
384,517,"Cn","2014-12-15","480p"
2050,540,"En","2014-12-02","1080p"
2909,489,"Other","2014-12-09","1080p"
476,150,"En","2014-12-15","1080p"
2724,656,"Cn","2014-12-09","240p"
938,325,"En","2014-12-19","480p"
1176,667,"Other","2014-12-03","360p"
1974,1228,"En","2014-12-04","1080p"
1783,299,"En","2014-12-17","720p"
2581,209,"En","2014-12-13","720p"
493,1067,"Other","2014-12-03","480p"
2141,822,"Other","2014-12-11","720p"
1191,413,"Other","2014-12-02","480p"
1954,459,"Other","2014-12-15","1080p"
1287,488,"Cn","2014-12-11","720p"
2183,574,"En","2014-12-12","240p"
767,604,"Cn","2014-12-18","480p"
998,1546,"En","2014-12-03","1080p"
1131,1179,"Cn","2014-12-02","1080p"
2522,260,"Cn","2014-12-17","480p"
172,1355,"Es","2014-12-13","1080p"
2707,846,"Cn","2014-12-10","480p"
244,480,"Cn","2014-12-09","360p"
58,326,"Es","2014-12-23","720p"
2123,150,"Other","2014-12-17","480p"
1984,1227,"En","2014-12-10","480p"
872,1168,"En","2014-12-12","720p"
2485,1158,"Cn","2014-12-22","720p"
2224,219,"Cn","2014-12-15","720p"
2009,1603,"En","2014-12-06","1080p"
1378,90,"Cn","2014-12-07","360p"
