date,shown,clicked,converted,avg_cost_per_click,total_revenue,ad
10/1/15,65877,2339,43,0.9,641.62,ad_group_1
10/2/15,65100,2498,38,0.94,756.37,ad_group_1
10/3/15,70658,2313,49,0.86,970.9,ad_group_1
10/4/15,69809,2833,51,1.01,907.39,ad_group_1
10/5/15,68186,2696,41,1,879.45,ad_group_1
10/6/15,66864,2617,46,0.98,746.48,ad_group_1
10/7/15,68227,2390,42,0.94,462.33,ad_group_1
10/8/15,68520,2909,46,1.07,441.28,ad_group_1
10/9/15,67250,2385,49,0.88,602.14,ad_group_1
10/10/15,67873,2614,42,0.93,490.55,ad_group_1
10/11/15,66747,2296,50,0.87,448.04,ad_group_1
10/12/15,72211,2886,51,0.97,1199.39,ad_group_1
10/13/15,71101,3335,50,1.14,673.32,ad_group_1
10/14/15,75676,2885,54,0.96,973.77,ad_group_1
10/15/15,70274,2236,51,0.81,976.68,ad_group_1
10/16/15,72223,2765,45,0.96,735.16,ad_group_1
10/17/15,68489,3221,42,1.12,389.33,ad_group_1
10/18/15,70423,2598,62,0.95,1112.61,ad_group_1
10/19/15,67222,2693,47,0.97,907.68,ad_group_1
10/20/15,72393,2903,44,0.99,827.21,ad_group_1
10/21/15,69372,2677,51,0.97,1220.26,ad_group_1
10/22/15,66850,2349,46,0.88,431.73,ad_group_1
10/23/15,67967,2716,46,0.96,747.99,ad_group_1
10/24/15,63166,2458,47,0.96,892.89,ad_group_1
10/25/15,64943,2619,40,1.06,634.72,ad_group_1
10/26/15,69240,2379,47,0.89,296,ad_group_1
10/27/15,70721,2856,49,0.97,906.43,ad_group_1
10/28/15,68030,3035,50,1.08,805.95,ad_group_1
10/29/15,67087,2829,55,1.01,1552.51,ad_group_1
10/30/15,64381,2464,45,0.96,733.57,ad_group_1
10/31/15,67336,2598,48,0.97,611.25,ad_group_1
11/1/15,65199,2433,44,0.95,256.16,ad_group_1
11/2/15,67780,2487,49,0.93,519.25,ad_group_1
11/3/15,71552,2477,50,0.9,509.56,ad_group_1
11/4/15,70256,2888,42,1,375.76,ad_group_1
11/5/15,67618,2549,44,0.96,781.58,ad_group_1
11/6/15,65356,2411,51,0.93,1030.53,ad_group_1
11/7/15,72183,2414,42,0.85,560.04,ad_group_1
11/8/15,71716,3191,49,1.09,783.2,ad_group_1
11/9/15,70231,2703,47,0.96,1024.04,ad_group_1
11/10/15,69090,2546,52,0.93,1038.73,ad_group_1
11/11/15,70656,2967,44,1.05,688.3,ad_group_1
11/12/15,69647,2375,52,0.87,809.7,ad_group_1
11/13/15,72939,2992,47,1.02,828.18,ad_group_1
11/14/15,69212,2883,53,1.01,576.3,ad_group_1
11/15/15,74549,2961,42,1,394.81,ad_group_1
11/16/15,72724,3042,44,1.01,816.5,ad_group_1
11/17/15,71322,2577,46,0.92,698.92,ad_group_1
11/18/15,67866,3058,40,1.09,630.31,ad_group_1
11/19/15,72607,2999,50,1,739.56,ad_group_1
11/20/15,68974,3005,47,1.08,767.34,ad_group_1
11/21/15,73793,2953,49,0.99,1211.82,ad_group_1
11/22/15,75829,3106,46,0.98,364.25,ad_group_1
10/1/15,50988,1267,109,0.7,1704.28,ad_group_2
10/2/15,51934,1035,140,0.58,918.21,ad_group_2
10/3/15,53386,1041,123,0.56,1548.48,ad_group_2
10/4/15,52008,1521,127,0.76,1911.39,ad_group_2
10/5/15,48766,1153,108,0.65,1403.14,ad_group_2
10/6/15,53933,1331,136,0.69,1901.33,ad_group_2
10/7/15,51941,1235,118,0.67,1894.71,ad_group_2
10/8/15,50748,1048,123,0.59,3005.56,ad_group_2
10/9/15,50312,1066,125,0.61,2250.06,ad_group_2
10/10/15,53533,1075,119,0.6,1992.92,ad_group_2
10/11/15,47941,1101,118,0.65,2227.14,ad_group_2
10/12/15,53353,1423,127,0.7,2065.1,ad_group_2
10/13/15,49002,1158,114,0.66,2287.92,ad_group_2
10/14/15,50939,1029,119,0.57,1695.66,ad_group_2
10/15/15,48257,1205,123,0.67,430.37,ad_group_2
10/16/15,52733,1330,113,0.65,2493.41,ad_group_2
10/17/15,49110,1071,121,0.65,2365.13,ad_group_2
10/18/15,55660,1641,141,0.78,440.24,ad_group_2
10/19/15,50216,1010,111,0.58,2328.17,ad_group_2
10/20/15,49984,1000,129,0.6,1864.54,ad_group_2
10/21/15,51055,960,112,0.57,1845.74,ad_group_2
10/22/15,51654,1146,118,0.62,2057.76,ad_group_2
10/23/15,53604,1191,122,0.6,1248.01,ad_group_2
10/24/15,48302,1154,94,0.65,1891.32,ad_group_2
10/25/15,48399,1061,113,0.63,2199.69,ad_group_2
10/26/15,52221,1213,134,0.66,951.14,ad_group_2
10/27/15,49410,1029,118,0.59,1042.4,ad_group_2
10/28/15,51993,1083,101,0.57,1287.85,ad_group_2
10/29/15,50675,1335,119,0.69,1534.07,ad_group_2
10/30/15,50290,1031,122,0.57,1471.69,ad_group_2
10/31/15,53007,1155,110,0.63,2352.1,ad_group_2
11/1/15,47468,1217,101,0.69,2113,ad_group_2
11/2/15,53939,1306,113,0.67,778.67,ad_group_2
11/3/15,50997,1107,111,0.6,2167.92,ad_group_2
11/4/15,49060,847,103,0.51,2265.14,ad_group_2
11/5/15,51693,1292,113,0.67,1611.21,ad_group_2
11/6/15,49667,908,97,0.55,2535.77,ad_group_2
11/7/15,52022,1476,118,0.74,2116.45,ad_group_2
11/8/15,52982,1334,114,0.68,2135.71,ad_group_2
11/9/15,50647,888,103,0.55,1480.98,ad_group_2
11/10/15,49352,1022,111,0.6,662.71,ad_group_2
11/11/15,48553,1268,106,0.7,1278.88,ad_group_2
11/12/15,53666,1068,127,0.59,1871.44,ad_group_2
11/13/15,52435,1488,131,0.76,3173.49,ad_group_2
11/14/15,48691,1301,115,0.67,2115.85,ad_group_2
11/15/15,54047,1183,121,0.61,2341.65,ad_group_2
11/16/15,47593,929,123,0.58,2108.54,ad_group_2
11/17/15,51745,1302,118,0.71,2142.97,ad_group_2
11/18/15,52999,1510,128,0.76,2068.47,ad_group_2
11/19/15,49519,761,110,0.51,1234.64,ad_group_2
11/20/15,51178,1201,126,0.66,1469.36,ad_group_2
11/21/15,53358,1277,139,0.67,1644.55,ad_group_2
11/22/15,50115,1129,114,0.64,601.74,ad_group_2
10/1/15,148198,13842,47,2.69,1103.29,ad_group_3
10/2/15,149873,13196,57,2.55,710.92,ad_group_3
10/3/15,155892,12722,55,2.47,668.29,ad_group_3
10/4/15,162137,15916,68,2.84,685.32,ad_group_3
10/5/15,167083,13905,53,2.5,713.7,ad_group_3
10/6/15,169790,17745,52,2.92,437.56,ad_group_3
10/7/15,169036,15374,59,2.53,1010.86,ad_group_3
10/8/15,165062,13505,63,2.41,954.02,ad_group_3
10/9/15,164310,14891,67,2.61,1053.12,ad_group_3
10/10/15,165674,15387,56,2.72,852.89,ad_group_3
